,code,type,m2,bathrooms,bedrooms,private_parking,common_parking,elevator,private_garden,common_garden,balcony,autonomous_heating,heating_type,energetic_class,year,city,zone,date,price
0,96752978,flat,68,1,1,0,0,False,False,False,False,True,M,G,1970.0,Bastiglia,Via San Martino,2023-07-26,82.000
1,103619684,flat,92,1,2,1,1,False,False,False,False,True,M,,1971.0,Bastiglia,via verdi,2023-07-26,85.000
2,103604470,flat,80,1,2,1,1,True,False,True,True,True,M,,2007.0,Bastiglia,Via Del Riccio,2023-07-26,133.000
3,104929507,flat,110,1,2,1,1,False,False,True,True,True,M,,1965.0,Bastiglia,via XXV Aprile,2023-07-26,145.000
4,103619638,flat,75,1,2,1,1,False,False,True,True,True,M,,1998.0,Bastiglia,Via delle macine,2023-07-26,128.000
5,103637594,flat,85,1,2,0,0,False,False,False,False,False,M,,1970.0,Bastiglia,Via Garibaldi,2023-07-26,126.000
6,103950191,flat,85,1,1,1,1,True,True,False,False,True,M,,2008.0,Bastiglia,Via stazione,2023-07-26,140.000
7,103619764,flat,65,1,2,1,1,False,False,False,True,True,M,,2002.0,Bastiglia,Via Stazione,2023-07-26,120.000
8,104951593,flat,65,1,1,1,1,False,False,False,False,True,M,E,2002.0,Bastiglia,"via XXV aprile, 22",2023-07-26,90.000
9,104829765,flat,65,1,2,1,1,False,False,False,True,True,M,C,2007.0,Bastiglia,piazza Tintori,2023-07-26,130.000
10,103619672,flat,95,1,2,1,1,True,False,False,True,True,G,F,1998.0,Bastiglia,piazza repubblica,2023-07-26,115.000
11,102557332,flat,100,1,2,0,0,True,False,False,True,True,M,F,1970.0,Bastiglia,Piazza Repubblica,2023-07-26,108.000
12,104478467,flat,114,1,2,1,0,False,False,True,True,True,M,G,1965.0,Bastiglia,Viale Via Giuseppe Verdi,2023-07-26,145.000
13,104521923,rustic,725,3,0,0,0,False,False,False,False,True,M,,1980.0,Bastiglia,"Via dell'Artigianato, 33, 41030 Bastiglia MO, Italia",2023-07-26,"176.062,00"
14,104647409,flat,90,1,2,1,0,False,False,True,True,True,G,G,1971.0,Bastiglia,Via Giacomo Puccini,2023-07-26,145.000
15,102743712,flat,72,1,2,1,0,False,False,False,True,True,M,G,1988.0,Bastiglia,Via 4 Novembre 11,2023-07-26,
16,101277741,house,212,3,4,1,4,False,True,False,False,True,M,G,1994.0,Bastiglia,Strada di San Clemente 4,2023-07-26,650.000
17,102483436,flat,60,1,2,1,0,False,False,False,False,True,M,F,1996.0,Bastiglia,Via San Martino 16,2023-07-26,95.000
18,57933580,flat,89,1,2,1,1,False,True,False,False,True,M,E,1995.0,Bastiglia,Via dei Mugnai,2023-07-26,114.000
19,81877008,flat,205,1,3,1,0,False,True,False,False,True,G,,1980.0,Bastiglia,Piazza Repubblica,2023-07-26,140.000
20,101927420,flat,100,1,2,2,0,True,False,True,True,True,M,E,1988.0,Bastiglia,Via Palmiro Togliatti 26,2023-07-26,148.000
21,76299816,flat,70,1,1,1,0,True,False,True,True,True,M,G,2005.0,Bastiglia,Via Giuseppe Verdi,2023-07-26,95.000
22,96952292,flat,100,1,1,0,0,True,False,True,False,True,G,G,1995.0,Bastiglia,Piazza Repubblica,2023-07-26,108.000
23,81013455,flat,135,2,3,0,0,True,False,True,False,True,G,G,1995.0,Bastiglia,Piazza Repubblica,2023-07-26,165.000
24,100322186,flat,41,1,u,1,0,False,False,False,False,True,M,E,1995.0,Bastiglia,Via San Martino 18,2023-07-26,45.000
25,75109966,flat,91,1,2,1,0,True,False,True,True,True,P,D,2005.0,Bastiglia,Viale 1 Maggio,2023-07-26,125.000
26,94589806,flat,60,1,1,0,0,False,False,True,False,True,G,,2022.0,Bastiglia,Strada Statale dell'Abetone e del Brennero,2023-07-26,103.000
27,80317451,flat,305,1,g,1,1,False,False,False,False,True,M,B,2004.0,Bastiglia,via Fiumicello 31,2023-07-26,305.000
28,103619674,townhouse,100,1,2,0,0,False,True,False,True,True,M,,1960.0,Bomporto,via borsari,2023-07-26,80.000
29,103619746,flat,85,1,3,1,1,False,False,False,False,True,M,,1980.0,Bomporto,"via pergolesi, 1",2023-07-26,100.000
30,103619724,flat,88,1,2,0,0,False,False,True,True,True,M,,2008.0,Bomporto,Via Canale naviglio,2023-07-26,150.000
31,103932637,flat,95,1,2,1,1,True,False,True,True,False,M,,2009.0,Bomporto,via del Lambrusco,2023-07-26,158.000
32,103604494,flat,125,1,2,0,0,True,False,False,False,True,M,,2006.0,Bomporto,Via Ugo Foscolo,2023-07-26,115.000
33,103619680,flat,130,2,2,1,1,False,True,False,True,True,G,,2009.0,Bomporto,via collodi,2023-07-26,250.000
34,103619750,flat,135,1,2,1,1,False,False,True,True,True,M,G,1980.0,Bomporto,Via ravarino carpi,2023-07-26,130.000
35,103619650,rustic,287,2,4,0,0,False,True,False,False,True,G,G,1950.0,Bomporto,via po,2023-07-26,77.000
36,103619762,flat,123,2,3,1,1,True,False,True,True,True,M,A,2024.0,Bomporto,Via adige,2023-07-26,230.000
37,103619770,flat,123,2,3,1,1,True,False,True,True,True,M,A,2024.0,Bomporto,Via adige,2023-07-26,245.000
38,103619722,house,155,2,3,1,1,False,True,False,True,True,G,A,2023.0,Bomporto,Via Rubicone,2023-07-26,300.000
39,103093846,flat,140,2,3,1,0,False,False,True,True,True,G,F,2001.0,Bomporto,Via dell'Acero,2023-07-26,158.000
40,103407268,house,140,1,3,1,0,False,True,False,False,True,G,G,1980.0,Bomporto,Via Padella,2023-07-26,100.000
41,101391093,house,255,4,4,2,1,False,True,False,True,True,G,D,2007.0,Bomporto,Viale Cornelio Barbieri,2023-07-26,385.000
42,103385432,flat,123,2,2,1,0,False,False,True,False,True,G,G,1986.0,Bomporto,Via Verdeta,2023-07-26,103.000
43,103619768,flat,152,2,3,1,1,True,False,True,True,True,M,A,2024.0,Bomporto,Via adige,2023-07-26,255.000
44,101472739,flat,115,2,3,1,1,False,False,True,True,True,M,,1980.0,Bomporto,Via Verdeta,2023-07-26,120.000
45,102657090,flat,82,1,2,1,1,True,False,False,False,True,M,E,2008.0,Bomporto,Piazza Guglielmo Marconi,2023-07-26,90.000
46,103767798,townhouse,100,2,2,0,1,False,True,False,True,True,M,G,1970.0,Bomporto,Via Tabacchi,2023-07-26,80.000
47,104283555,house,314,3,4,0,0,False,False,False,False,True,M,,1980.0,Bomporto,"Via Ravarino Carpi, 180, 41030 Sorbara MO, Italia",2023-07-26,"375.638,00"
48,99096496,flat,70,1,2,1,0,True,False,True,True,True,M,G,2005.0,Bomporto,Via del Barolo 7,2023-07-26,125.000
49,100887405,flat,73,1,2,1,0,False,False,True,True,True,M,G,2005.0,Bomporto,Via del Lambrusco 451,2023-07-26,125.000
50,92335430,flat,150,2,2,1,1,False,True,False,True,True,M,,2020.0,Bomporto,Via ALFIERI VITTORIO 38/C,2023-07-26,250.000
51,101000955,flat,115,1,2,1,0,False,False,False,False,True,M,G,1960.0,Bomporto,Via per Modena 34,2023-07-26,117.000
52,102296850,townhouse,628,2,6,2,0,False,True,False,True,True,M,,1960.0,Bomporto,Via Prati Livelli 21,2023-07-26,300.000
53,103131286,flat,38,1,1,1,0,False,False,False,True,True,M,G,1990.0,Bomporto,Via Alessandro Manzoni,2023-07-26,90.000
54,100575454,townhouse,137,1,3,0,1,False,True,False,False,True,M,G,1910.0,Bomporto,Via G. Borsari 46,2023-07-26,27.000
55,95252384,flat,145,2,3,0,4,False,False,True,False,True,M,D,1950.0,Bomporto,Via Nazionale,2023-07-26,225.000
56,98640140,flat,103,1,3,1,0,False,False,False,True,True,M,G,1969.0,Bomporto,Via Nazionale 62,2023-07-26,150.000
57,101657657,house,228,3,5,2,0,False,False,False,False,True,M,G,1940.0,Bomporto,Via Nazionale 1,2023-07-26,180.000
58,102268598,townhouse,276,2,2,1,0,True,True,False,True,True,M,G,1970.0,Bomporto,Via Nazionale 106,2023-07-26,240.000
59,102037922,house,127,2,2,2,0,False,True,False,True,True,M,F,1980.0,Bomporto,Via FRESCOBALDI 25,2023-07-26,200.000
60,95929778,flat,110,1,2,2,0,False,False,False,True,True,G,E,1970.0,Bomporto,Via Ravarino Carpi,2023-07-26,128.000
61,93560330,flat,83,1,2,1,0,True,True,False,False,False,M,G,2007.0,Bomporto,Via ARNO 388,2023-07-26,159.000
62,104297649,flat,120,2,2,1,1,True,False,True,True,True,M,,2005.0,Bomporto,VIA LEONARDO DA VINCI,2023-07-26,155.000
63,99404968,flat,67,1,2,2,0,False,True,False,False,True,G,F,2001.0,Bomporto,Via dei Pioppi Cipressini,2023-07-26,205.000
64,74029740,flat,190,1,3,1,1,False,False,True,True,True,M,G,1975.0,Bomporto,via statale,2023-07-26,105.000
65,103532112,townhouse,158,1,2,0,2,False,True,False,False,True,G,,1950.0,Bomporto,Via Nazionale,2023-07-26,215.000
66,102038142,flat,56,1,1,1,0,False,True,False,False,True,M,G,2000.0,Bomporto,Via Piave,2023-07-26,135.000
67,104297815,flat,95,2,3,1,1,True,False,True,True,True,M,,2008.0,Bomporto,"VIA RENO, 388",2023-07-26,160.000
68,102466694,flat,98,1,2,1,0,False,False,False,True,True,G,,1998.0,Bomporto,Via Antonio Vivaldi,2023-07-26,142.000
69,102494808,house,140,2,3,1,0,False,True,False,True,True,S,A,2021.0,Bomporto,VIA CIMAROSA,2023-07-26,330.000
70,103006812,flat,62,1,2,2,0,False,False,False,True,True,M,G,1980.0,Bomporto,Via Don Luigi Sturzo 17,2023-07-26,85.000
71,102267930,flat,93,1,2,1,1,False,False,True,True,True,M,G,1975.0,Bomporto,Via F. Turati 13,2023-07-26,130.000
72,103525202,flat,138,2,3,1,0,False,True,False,False,True,M,,1970.0,Bomporto,Via G. Borsari 17,2023-07-26,390.000
